2024-01-22 18:50:17: A队得分: 0, B队得分: 0
2024-01-22 19:09:28: A队得分: 0, B队得分: 0
2024-01-22 19:43:05: A队得分: 0, B队得分: 0
2024-01-22 19:54:32: A队得分: 0, B队得分: 0
2024-01-22 20:20:13: A队得分: 0, B队得分: 0
2024-01-22 20:37:01: A队得分: 0, B队得分: 0
2024-01-22 21:05:19: A队得分: 0, B队得分: 0
2024-01-22 21:22:07: A队得分: 0, B队得分: 0
2024-01-23 09:06:13: A队得分: 0, B队得分: 0
2024-01-23 09:16:23: A队得分: 0, B队得分: 0
2024-01-23 09:35:25: A队得分: 0, B队得分: 0
2024-01-23 10:16:49: A队得分: 0, B队得分: 0
2024-01-23 10:24:25: A队得分: 0, B队得分: 0
2024-01-23 10:39:14: A队得分: 0, B队得分: 0
2024-01-23 11:22:11: A队得分: 0, B队得分: 0
2024-01-23 11:35:58: A队得分: 0, B队得分: 0
2024-01-23 11:52:04: A队得分: 0, B队得分: 0
2024-01-23 12:03:08: A队得分: 0, B队得分: 0
2024-01-23 12:07:04: A队得分: 0, B队得分: 0
2024-01-23 12:14:28: A队得分: 0, B队得分: 0
2024-01-23 15:06:08: A队得分: 0, B队得分: 0
2024-01-23 15:18:36: A队得分: 0, B队得分: 0
2024-01-23 15:28:50: A队得分: 0, B队得分: 0
2024-01-23 15:42:04: A队得分: 0, B队得分: 0
2024-01-23 16:04:34: A队得分: 0, B队得分: 0
2024-01-23 16:24:45: A队得分: 0, B队得分: 0
2024-01-23 16:42:44: A队得分: 0, B队得分: 0
2024-01-23 17:01:57: A队得分: 0, B队得分: 0
2024-01-23 17:22:23: A队得分: 0, B队得分: 0
2024-01-23 17:32:48: A队得分: 0, B队得分: 0
2024-01-23 17:49:24: A队得分: 0, B队得分: 0
2024-01-23 18:13:50: A队得分: 0, B队得分: 0
2024-01-23 18:32:16: A队得分: 0, B队得分: 0
2024-01-23 18:36:58: A队得分: 0, B队得分: 0
2024-01-23 18:48:15: A队得分: 0, B队得分: 0
2024-01-23 19:00:03: A队得分: 0, B队得分: 0
2024-01-23 19:39:54: A队得分: 0, B队得分: 0
2024-01-23 20:00:21: A队得分: 0, B队得分: 0
2024-01-23 20:40:41: A队得分: 0, B队得分: 0
2024-01-23 20:49:40: A队得分: 0, B队得分: 0
2024-01-23 21:08:22: A队得分: 0, B队得分: 0
2024-01-23 21:43:31: A队得分: 0, B队得分: 0
2024-01-23 21:50:42: A队得分: 0, B队得分: 0
2024-01-23 21:58:23: A队得分: 0, B队得分: 0
2024-01-23 22:07:25: A队得分: 0, B队得分: 0
2024-01-23 22:17:57: A队得分: 0, B队得分: 0
2024-01-23 22:27:04: A队得分: 0, B队得分: 0
2024-01-23 22:35:13: A队得分: 0, B队得分: 0
2024-01-23 23:05:18: A队得分: 0, B队得分: 0
2024-01-23 23:11:05: A队得分: 0, B队得分: 0
2024-01-24 05:47:54: A队得分: 0, B队得分: 0
2024-01-24 08:41:26: A队得分: 0, B队得分: 0
2024-01-24 09:02:16: A队得分: 0, B队得分: 0
2024-01-24 09:09:10: A队得分: 0, B队得分: 0
2024-01-24 09:20:58: A队得分: 0, B队得分: 0
2024-01-24 09:30:17: A队得分: 0, B队得分: 0
2024-01-24 10:22:04: A队得分: 0, B队得分: 0
2024-01-24 10:31:12: A队得分: 0, B队得分: 0
2024-01-24 10:46:57: A队得分: 0, B队得分: 0
2024-01-24 10:54:00: A队得分: 0, B队得分: 0
2024-01-24 11:31:46: A队得分: 0, B队得分: 0
2024-01-24 11:57:39: A队得分: 0, B队得分: 0
2024-01-24 12:04:09: A队得分: 0, B队得分: 0
2024-01-24 14:21:21: A队得分: 0, B队得分: 0
2024-01-24 14:35:39: A队得分: 0, B队得分: 0
2024-05-07 18:52:21: A队得分: 0, B队得分: 0
2024-05-08 20:48:49: A队得分: 0, B队得分: 0
2024-05-10 18:33:02: A队得分: 0, B队得分: 0
2024-05-10 18:41:45: A队得分: 0, B队得分: 0
2024-05-10 18:47:29: A队得分: 0, B队得分: 0
2024-05-10 19:02:09: A队得分: 0, B队得分: 0
2024-05-10 19:28:22: A队得分: 0, B队得分: 0
2024-05-10 19:44:29: A队得分: 0, B队得分: 0
2024-05-10 19:49:53: A队得分: 0, B队得分: 0
2024-05-10 19:58:04: A队得分: 0, B队得分: 0
2024-05-10 20:03:24: A队得分: 0, B队得分: 0
2024-05-10 20:17:51: A队得分: 0, B队得分: 0
2024-05-11 07:13:01: A队得分: 0, B队得分: 0
2024-05-11 07:29:45: A队得分: 0, B队得分: 0
2024-05-11 07:39:45: A队得分: 0, B队得分: 0
2024-05-11 07:48:43: A队得分: 0, B队得分: 0
2024-05-11 07:59:13: A队得分: 0, B队得分: 0
2024-05-11 08:09:25: A队得分: 0, B队得分: 0
2024-05-12 07:35:56: A队得分: 0, B队得分: 0
2024-05-12 07:44:29: A队得分: 0, B队得分: 0
2024-05-12 07:52:31: A队得分: 0, B队得分: 0
2024-05-12 08:14:24: A队得分: 0, B队得分: 0
2024-05-12 08:31:59: A队得分: 0, B队得分: 0
2024-05-13 18:38:06: A队得分: 0, B队得分: 0
2024-05-13 18:44:34: A队得分: 0, B队得分: 0
2024-05-13 18:48:21: A队得分: 0, B队得分: 0
2024-05-13 19:00:50: A队得分: 0, B队得分: 0
2024-05-13 19:06:47: A队得分: 0, B队得分: 0
2024-05-13 19:11:02: A队得分: 0, B队得分: 0
2024-05-13 19:18:34: A队得分: 0, B队得分: 0
2024-05-13 19:25:44: A队得分: 0, B队得分: 0
2024-05-13 19:41:20: A队得分: 0, B队得分: 0
2024-05-13 19:57:34: A队得分: 0, B队得分: 0
2024-05-13 20:05:02: A队得分: 0, B队得分: 0
2024-05-13 20:13:53: A队得分: 0, B队得分: 0
2024-05-13 20:21:23: A队得分: 0, B队得分: 0
2024-05-13 20:31:38: A队得分: 0, B队得分: 0
2024-05-14 18:51:12: A队得分: 0, B队得分: 0
2024-05-14 18:59:52: A队得分: 0, B队得分: 0
2024-05-14 19:08:39: A队得分: 0, B队得分: 0
2024-05-14 19:17:53: A队得分: 0, B队得分: 0
2024-05-14 19:24:03: A队得分: 0, B队得分: 0
2024-05-14 19:31:32: A队得分: 0, B队得分: 0
2024-05-14 19:37:59: A队得分: 0, B队得分: 0
2024-05-14 19:47:37: A队得分: 0, B队得分: 0
2024-05-14 19:56:33: A队得分: 0, B队得分: 0
2024-05-14 20:05:41: A队得分: 0, B队得分: 0
2024-05-14 20:10:53: A队得分: 0, B队得分: 0
2024-05-14 20:15:58: A队得分: 0, B队得分: 0
2024-05-14 20:24:49: A队得分: 0, B队得分: 0
2024-05-14 20:35:00: A队得分: 0, B队得分: 0
2024-05-14 20:45:09: A队得分: 0, B队得分: 0
2024-05-14 20:50:49: A队得分: 0, B队得分: 0
2024-05-15 09:48:53: A队得分: 0, B队得分: 0
2024-05-15 10:11:35: A队得分: 0, B队得分: 0
2024-05-15 10:25:00: A队得分: 0, B队得分: 0
2024-05-15 10:33:10: A队得分: 0, B队得分: 0
2024-05-15 10:50:13: A队得分: 0, B队得分: 0
2024-05-15 10:59:13: A队得分: 0, B队得分: 0
2024-05-15 18:37:52: A队得分: 0, B队得分: 0
2024-05-15 18:47:59: A队得分: 0, B队得分: 0
2024-05-15 19:00:47: A队得分: 0, B队得分: 0
2024-05-15 19:06:10: A队得分: 0, B队得分: 0
2024-05-15 19:25:11: A队得分: 0, B队得分: 0
2024-05-15 19:56:03: A队得分: 0, B队得分: 0
2024-05-15 20:07:56: A队得分: 0, B队得分: 0
2024-05-15 20:49:02: A队得分: 0, B队得分: 0
2024-05-15 21:01:27: A队得分: 0, B队得分: 0
2024-05-17 09:29:20: A队得分: 0, B队得分: 0
2024-05-17 09:45:37: A队得分: 0, B队得分: 0
2024-05-17 09:55:44: A队得分: 0, B队得分: 0
2024-05-17 10:06:43: A队得分: 0, B队得分: 0
2024-05-17 10:15:01: A队得分: 0, B队得分: 0
2024-05-17 10:28:41: A队得分: 0, B队得分: 0
2024-05-17 10:33:49: A队得分: 0, B队得分: 0
2024-05-17 10:45:49: A队得分: 0, B队得分: 0
2024-05-17 10:53:31: A队得分: 0, B队得分: 0
