                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3231,                 1.8477,                 1.1303,                0.94321,                0.41521,                0.87983,                0.52642,                 1.2239,                 2.3552,                 1.0941,             0.00046717,             0.00046717,             0.00046717
                      2,                 1.2286,                 1.0349,                 1.0883,                0.92076,                0.96837,                0.98241,                0.61503,                 1.2187,                 1.2551,                 1.1614,             0.00092482,             0.00092482,             0.00092482
                      3,                 1.2393,                0.93593,                 1.1262,                0.97437,                0.95052,                0.99029,                 0.6518,                 1.1968,                0.90681,                 1.2203,              0.0013636,              0.0013636,              0.0013636
                      4,                  1.221,                0.87263,                 1.1191,                0.96364,                0.99167,                 0.9917,                0.65179,                 1.2477,                0.76823,                 1.2269,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.1889,                0.78938,                 1.1109,                0.98839,                0.98333,                0.99409,                0.63203,                 1.1873,                 0.6375,                 1.2575,              0.0013441,              0.0013441,              0.0013441
                      6,                   1.15,                0.73167,                 1.0926,                0.98243,                0.93195,                0.99011,                0.62306,                 1.2751,                0.71964,                 1.2667,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.1464,                0.69638,                 1.0967,                0.99136,                0.95621,                0.99313,                 0.6677,                 1.1886,                0.58277,                 1.2104,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.1578,                0.67961,                 1.0988,                0.97237,                0.98333,                0.99377,                0.64211,                 1.2687,                0.62139,                 1.2352,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.1465,                0.64828,                  1.091,                0.97489,                      1,                0.99433,                0.66697,                 1.2135,                0.52164,                 1.2366,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.1437,                0.63741,                 1.0984,                0.98753,                0.98333,                0.99225,                0.63727,                 1.2292,                0.56887,                 1.2627,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.1374,                0.62349,                 1.0883,                0.99171,                0.99722,                0.99459,                0.67053,                 1.1357,                0.51765,                 1.2104,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.1299,                0.62055,                 1.0888,                0.99173,                 0.9997,                0.99492,                0.68344,                 1.1392,                0.47175,                 1.2163,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.1225,                0.59945,                 1.0872,                0.99879,                      1,                  0.995,                0.65301,                 1.1849,                0.47894,                   1.23,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.1035,                0.59697,                 1.0888,                0.98868,                      1,                0.99492,                0.67463,                 1.1708,                0.49766,                 1.2348,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.0909,                0.56826,                 1.0794,                0.98197,                      1,                0.99475,                0.67692,                 1.1505,                0.45612,                 1.2042,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.1154,                0.57681,                 1.0858,                0.99083,                      1,                0.99384,                 0.6853,                 1.1258,                0.45143,                 1.2008,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.0827,                0.56338,                 1.0735,                0.99171,                0.99747,                0.99475,                0.66835,                 1.2334,                0.49176,                 1.2429,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.0729,                0.55005,                 1.0624,                      1,                 0.9997,                  0.995,                0.68435,                 1.1514,                0.44796,                 1.1906,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.0375,                0.54349,                 1.0622,                0.99651,                0.99167,                  0.995,                0.64621,                 1.2942,                0.47046,                 1.2765,               0.000948,               0.000948,               0.000948
                     20,                 1.0592,                0.54548,                 1.0638,                0.99173,                0.99898,                  0.995,                0.69601,                 1.1534,                0.44515,                 1.2155,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.0496,                0.53768,                 1.0566,                0.98957,                      1,                0.99483,                0.67906,                 1.2122,                0.44854,                 1.2365,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.0553,                0.53901,                 1.0628,                0.99819,                      1,                  0.995,                0.66606,                 1.2292,                0.44449,                 1.2482,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.0677,                0.53684,                 1.0694,                0.99911,                      1,                  0.995,                0.67188,                 1.2101,                0.43257,                  1.229,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.0275,                0.52027,                 1.0511,                0.99937,                      1,                  0.995,                0.68491,                 1.2011,                0.43638,                 1.2252,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.0149,                0.50878,                 1.0457,                0.98953,                      1,                  0.995,                0.67429,                 1.2266,                0.43776,                 1.2591,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.0435,                0.51374,                 1.0595,                0.99787,                      1,                  0.995,                0.68867,                 1.1366,                0.42253,                 1.2053,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.0131,                0.50429,                 1.0487,                0.99855,                0.99167,                  0.995,                0.68941,                 1.1758,                0.41587,                 1.2114,             0.00072164,             0.00072164,             0.00072164
                     28,                0.99828,                0.50076,                 1.0455,                0.99912,                      1,                  0.995,                0.68201,                 1.1593,                0.40869,                 1.1943,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.0152,                0.50698,                 1.0507,                0.99941,                      1,                  0.995,                0.70682,                    1.1,                0.40985,                 1.1762,             0.00066506,             0.00066506,             0.00066506
                     30,                0.97984,                  0.484,                 1.0337,                0.99928,                      1,                  0.995,                0.70331,                  1.151,                0.41024,                 1.1906,             0.00063676,             0.00063676,             0.00063676
                     31,                0.99341,                0.47757,                 1.0366,                0.99863,                      1,                  0.995,                0.69336,                 1.1801,                0.39393,                 1.2171,             0.00060847,             0.00060847,             0.00060847
                     32,                0.96509,                0.48204,                 1.0249,                0.99103,                      1,                  0.995,                0.69445,                 1.1654,                  0.402,                 1.2162,             0.00058017,             0.00058017,             0.00058017
                     33,                0.97307,                0.48167,                 1.0311,                0.99174,                0.99995,                0.99483,                0.69841,                 1.1205,                0.38917,                  1.194,             0.00055188,             0.00055188,             0.00055188
                     34,                0.94991,                0.46636,                 1.0178,                0.98279,                0.99167,                0.99094,                0.69112,                  1.187,                 0.4011,                 1.2228,             0.00052359,             0.00052359,             0.00052359
                     35,                 0.9498,                 0.4666,                  1.024,                0.99969,                      1,                  0.995,                0.67908,                 1.2294,                0.39349,                  1.234,             0.00049529,             0.00049529,             0.00049529
                     36,                0.94728,                0.45889,                 1.0177,                      1,                0.99924,                  0.995,                  0.692,                 1.1782,                0.39043,                 1.2078,               0.000467,               0.000467,               0.000467
                     37,                0.93769,                0.45708,                  1.012,                0.99084,                      1,                  0.995,                0.68554,                  1.201,                0.38871,                  1.225,              0.0004387,              0.0004387,              0.0004387
                     38,                0.94248,                0.45945,                 1.0254,                0.99173,                0.99931,                0.99492,                0.70122,                 1.1422,                0.37628,                 1.1967,             0.00041041,             0.00041041,             0.00041041
                     39,                0.92485,                0.45514,                 1.0204,                 0.9998,                      1,                  0.995,                0.70328,                 1.1485,                0.37524,                 1.1914,             0.00038211,             0.00038211,             0.00038211
                     40,                0.90531,                0.44309,                 1.0055,                0.99954,                      1,                  0.995,                0.70392,                 1.1515,                0.37803,                 1.2065,             0.00035382,             0.00035382,             0.00035382
                     41,                0.87834,                0.39636,                 1.0114,                0.99944,                      1,                  0.995,                0.69321,                 1.1466,                 0.3811,                 1.2004,             0.00032553,             0.00032553,             0.00032553
                     42,                0.85952,                0.38925,                 1.0099,                0.99939,                      1,                  0.995,                0.69844,                  1.127,                0.38043,                 1.2006,             0.00029723,             0.00029723,             0.00029723
                     43,                0.85984,                0.37722,                  1.001,                0.99927,                      1,                  0.995,                0.70282,                 1.1453,                0.37372,                 1.2043,             0.00026894,             0.00026894,             0.00026894
                     44,                 0.8382,                0.37135,                0.99652,                0.99935,                      1,                  0.995,                0.70163,                 1.1833,                0.37453,                 1.2182,             0.00024064,             0.00024064,             0.00024064
                     45,                0.83164,                0.36582,                0.99233,                0.99948,                      1,                  0.995,                0.70805,                 1.1527,                0.37027,                 1.2049,             0.00021235,             0.00021235,             0.00021235
                     46,                0.82669,                0.35935,                0.99029,                0.99936,                      1,                  0.995,                0.69793,                 1.1354,                0.36798,                 1.2037,             0.00018406,             0.00018406,             0.00018406
                     47,                 0.8196,                0.35757,                0.98279,                0.99939,                      1,                  0.995,                 0.7135,                 1.1353,                0.36786,                 1.2026,             0.00015576,             0.00015576,             0.00015576
                     48,                0.80739,                0.35672,                0.98546,                0.99939,                      1,                  0.995,                0.71231,                 1.1471,                0.36672,                 1.2038,             0.00012747,             0.00012747,             0.00012747
                     49,                0.79086,                0.34707,                 0.9746,                 0.9993,                      1,                  0.995,                 0.7029,                 1.1517,                0.37201,                 1.2071,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.78865,                 0.3512,                0.98122,                 0.9995,                      1,                  0.995,                0.70471,                 1.1389,                0.36675,                 1.2013,             7.0878e-05,             7.0878e-05,             7.0878e-05
