                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9695,                  3.419,                 2.4233,                0.01322,                0.99167,                 0.0468,                0.01166,                 2.6894,                 3.5325,                 2.1008,             0.00047038,             0.00047038,             0.00047038
                      2,                 2.0346,                 1.9253,                  1.697,                 0.7289,                0.73333,                0.72449,                0.25854,                 2.2161,                 1.8669,                 1.7209,             0.00092797,             0.00092797,             0.00092797
                      3,                 1.7316,                 1.4133,                 1.4749,                 0.8404,                   0.85,                0.89929,                0.39121,                 1.8787,                 1.4984,                 1.5509,              0.0013667,              0.0013667,              0.0013667
                      4,                 1.5907,                 1.1855,                 1.3886,                0.91136,                0.88333,                0.96345,                0.52701,                 1.5255,                 1.0771,                 1.2647,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.5035,                 1.0496,                 1.3201,                0.94004,                0.91447,                0.97892,                0.53001,                   1.57,                0.94348,                 1.3361,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.4045,                0.94593,                 1.2672,                0.98252,                0.93693,                0.98355,                0.56953,                   1.56,                0.92569,                 1.3685,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.3405,                0.88162,                 1.2289,                0.99128,                0.95833,                 0.9921,                0.57946,                 1.4499,                0.84158,                 1.3124,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.2828,                0.83138,                 1.1951,                0.91981,                0.95594,                0.97902,                0.54058,                 1.5148,                0.83012,                 1.4015,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.2504,                0.78621,                 1.1735,                0.96352,                  0.975,                0.99217,                0.59403,                 1.4003,                0.76754,                  1.264,              0.0012309,              0.0012309,              0.0012309
                     10,                  1.221,                0.75306,                  1.166,                 0.9833,                0.98155,                0.99425,                0.63995,                 1.3149,                0.65841,                 1.2525,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.1847,                0.71071,                 1.1457,                0.95131,                0.97694,                0.99139,                0.61673,                 1.3247,                0.70418,                 1.2401,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.1602,                0.68683,                 1.1392,                0.96552,                  0.975,                0.99196,                0.61741,                 1.3201,                0.63314,                 1.2769,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.1533,                0.66666,                 1.1307,                0.98295,                0.96098,                0.99054,                0.57734,                  1.396,                0.71062,                 1.2943,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.1499,                0.66341,                 1.1292,                0.98328,                 0.9803,                0.99325,                0.64829,                  1.269,                0.59094,                 1.2321,              0.0010895,              0.0010895,              0.0010895
